"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"роллы пицца киров доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"лапша и пельмени","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"заказ ролл киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","17.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","17.00",""
"меню вятский чебурек","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"на кирова 93 00 00 доставка еды плавания","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказать лапшу удон с доставкой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"заказ еды г.киров круглосуточно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"лапша удон киров купить","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"https://shymovka43.ru/menu/salaty","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"пельмени из коминтерна киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"недорого заказать еду на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"вкусные роллы с доставкой","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"экстра острая лапша в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"вкусные роллы на заказ киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"шумовка квадратная для ресторана","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"сырные палочки где купить в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"супчик доставка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"кафе кирова чизкейк","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"шумовска киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","0.00","0.00","","","","0.00","0.00","","",""
"десерт в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"г киров доставка пиццы роллов салатов цены меню","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказать роллы с доставкой на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"мико чизкейки киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"киров лапша вок заказать","2019-07-04 - 2019-10-04","1.00","1.00","100.00","6.00","6.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","6.00","6.00","0.00","0.00","","",""
"кафе роллы киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","46.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","46.00",""
"доставка пиццы киров 300 рублей","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"кафе шумовка юридическое лицо","2019-07-04 - 2019-10-04","1.00","0.00","0.00","1.00","","1.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"пельмени искра купить в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"кафе киров калинина","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"чебуреки на коневском рынке","2019-07-04 - 2019-10-04","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","8.00","8.00","0.00","0.00","","",""
"доставка еды от 300 рублей","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пожрать киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"пивные тарелки киров доставка","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"чизкеечная кафе киров меню","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"купить пельмени от производителя унинского мясокомбината пельмени","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"lcnfdrf tls rbhjd","2019-07-04 - 2019-10-04","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","5.00","5.00","0.00","0.00","","",""
"доставка китайской лапши и пиццы киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказ роллов на вынос","2019-07-04 - 2019-10-04","1.00","0.00","0.00","20.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","20.00",""
"доставка еды на неделю киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","20.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","20.00",""
"готовые блюда на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"сайт вкусно блин киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"купить пельмени","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"464606 киров доставка","2019-07-04 - 2019-10-04","1.00","0.00","0.00","15.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","15.00",""
"где поесть рамен в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
"шумовка кафе кирове","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"лапша wok киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"заказать пиццу киров круглосуточно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","27.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","27.00",""
"заказать еду на дом киров круглосуточно доставка бесплатно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"заказать лапшу сам ян","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"заказать пасту киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"замороженные чебуреки купить оптом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"пельмени толмачев киров где купить","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"где заказать картофель фри и нагенцы в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"репчек киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"заказать обед на дом бесплатная доставка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"меню в блинке","2019-07-04 - 2019-10-04","1.00","0.00","0.00","6.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","6.00","","0.00","0.00","","",""
"роллы киров доставка круглосуточно","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"киров доставка домашней еды","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"ста киров обед","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"пельмешка киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"елки кафе на калинина","2019-07-04 - 2019-10-04","1.00","0.00","0.00","13.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","13.00",""
"шумовка доставка еды киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"замороженные десерты киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"заказать суши на дом","2019-07-04 - 2019-10-04","1.00","0.00","0.00","36.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","36.00",""
"сколько стоит пицца с доставкой в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"киров 4053415 кафе","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"обед в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","8.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","8.00","","0.00","0.00","","",""
"кафе киров с вкусной пиццей и мясом","2019-07-04 - 2019-10-04","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","1.00","1.00","100.00","2.00","2.00","0.00","0.00","","","","0.00","0.00","","",""
"доставка роллов и лапши","2019-07-04 - 2019-10-04","1.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","5.00","","0.00","0.00","","",""
"картошка фри заказать город киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"шуберт еда 43","2019-07-04 - 2019-10-04","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"тяхан киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"та самая чебуречная киров заказ","2019-07-04 - 2019-10-04","1.00","0.00","0.00","3.00","","0.00","0.00","","1.00","0.00","0.00","3.00","","0.00","0.00","","","","0.00","0.00","","",""
"кафе где подают крем суп в кирове","2019-07-04 - 2019-10-04","1.00","0.00","0.00","12.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","12.00",""
"киров гренки улица","2019-07-04 - 2019-10-04","1.00","0.00","0.00","2.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","0.00","0.00","","","","0.00","0.00","","",""
"чебуреки с центрального рынка г. киров","2019-07-04 - 2019-10-04","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","0.00","0.00","","","","1.00","1.00","100.00","4.00","4.00","0.00","0.00","","",""
"меню онлайн киров","2019-07-04 - 2019-10-04","1.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","7.00","","0.00","0.00","","",""
"шумовка киро","2019-07-04 - 2019-10-04","1.00","1.00","100.00","1.00","1.00","1.00","1.00","100.00","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
